iAngle	iPic	ts Ang			Angle	ts Pic
0	0	1558891595.728235	1.0	1558891597.0875173
1	1	1558891597.1879323	2.0	1558891597.2414222
2	2	1558891597.3417618	3.0	1558891597.4042308
3	3	1558891597.5046265	4.0	1558891597.5581255
4	4	1558891597.6584494	5.0	1558891597.7276142
5	5	1558891597.827984	6.0	1558891597.8904796
6	6	1558891597.9907954	7.0	1558891598.0442626
7	7	1558891598.1672556	8.0	1558891598.229237
8	8	1558891598.3295612	9.0	1558891598.3920407
9	9	1558891598.492368	10.0	1558891598.5458694
10	10	1558891598.6462438	11.0	1558891598.7087424
11	11	1558891598.809074	12.0	1558891598.8625517
12	12	1558891598.9628808	13.0	1558891599.031919
13	13	1558891599.1328096	14.0	1558891599.1953094
14	14	1558891599.2956347	15.0	1558891599.3491445
15	15	1558891599.4494715	16.0	1558891599.511947
16	16	1558891599.6123018	17.0	1558891599.6657827
17	17	1558891599.7661364	18.0	1558891599.8352458
18	18	1558891599.9355736	19.0	1558891599.9980416
19	19	1558891600.0983922	20.0	1558891600.1518376
20	20	1558891600.2522316	21.0	1558891600.3147223
21	21	1558891600.415067	22.0	1558891600.468556
22	22	1558891600.568845	23.0	1558891600.6379542
23	23	1558891600.7383108	24.0	1558891600.8008106
24	24	1558891600.9011586	25.0	1558891600.954628
25	25	1558891601.05497	26.0	1558891601.117468
26	26	1558891601.2178214	27.0	1558891601.271266
27	27	1558891601.3716226	28.0	1558891601.4407012
28	28	1558891601.5410542	29.0	1558891601.6035533
29	29	1558891601.7038538	30.0	1558891601.7573752
30	30	1558891601.8577328	31.0	1558891601.920209
31	31	1558891602.020561	32.0	1558891602.0740044
32	32	1558891602.174388	33.0	1558891602.243491
33	33	1558891602.3437655	34.0	1558891602.4062755
34	34	1558891602.5066304	35.0	1558891602.5601296
35	35	1558891602.6604836	36.0	1558891602.7229836
36	36	1558891602.8233237	37.0	1558891602.8767676
37	37	1558891602.9771302	38.0	1558891603.0462527
38	38	1558891603.1466038	39.0	1558891603.2090874
39	39	1558891603.30942	40.0	1558891603.3629029
40	40	1558891603.4632154	41.0	1558891603.5257196
41	41	1558891603.6265635	42.0	1558891603.6800091
42	42	1558891603.780402	43.0	1558891603.849473
43	43	1558891603.9498253	44.0	1558891604.0123277
44	44	1558891604.1126628	45.0	1558891604.166146
45	45	1558891604.2664928	46.0	1558891604.3289697
46	46	1558891604.429323	47.0	1558891604.4827785
47	47	1558891604.583123	48.0	1558891604.652231
48	48	1558891604.752573	49.0	1558891604.8150718
49	49	1558891604.9154162	50.0	1558891604.9688635
50	50	1558891605.069208	51.0	1558891605.1316936
51	51	1558891605.2320523	52.0	1558891605.28553
52	52	1558891605.385857	53.0	1558891605.4549344
53	53	1558891605.5552845	54.0	1558891605.6178024
54	54	1558891605.7181215	55.0	1558891605.7720695
55	55	1558891605.8724568	56.0	1558891605.934954
56	56	1558891606.0353186	57.0	1558891606.0887685
57	57	1558891606.189145	58.0	1558891606.2582536
58	58	1558891606.3586068	59.0	1558891606.4211047
59	59	1558891606.5214021	60.0	1558891606.574813
60	60	1558891606.6752052	61.0	1558891606.7377005
61	61	1558891606.8380125	62.0	1558891606.8914952
62	62	1558891606.9918334	63.0	1558891607.0609226
63	63	1558891607.1612468	64.0	1558891607.2237248
64	64	1558891607.3241222	65.0	1558891607.377566
65	65	1558891607.4779208	66.0	1558891607.5403924
66	66	1558891607.6407075	67.0	1558891607.694193
67	67	1558891607.7945454	68.0	1558891607.8636122
68	68	1558891607.9644434	69.0	1558891608.026942
69	69	1558891608.127297	70.0	1558891608.180778
70	70	1558891608.2810805	71.0	1558891608.3436158
71	71	1558891608.4439743	72.0	1558891608.4974267
72	72	1558891608.5977836	73.0	1558891608.6668847
73	73	1558891608.7672172	74.0	1558891608.8297167
74	74	1558891608.93007	75.0	1558891608.9835203
75	75	1558891609.084361	76.0	1558891609.1468575
76	76	1558891609.2471898	77.0	1558891609.3006694
77	77	1558891609.4009795	78.0	1558891609.4700375
78	78	1558891609.5704339	79.0	1558891609.6329305
79	79	1558891609.7332885	80.0	1558891609.7867734
80	80	1558891609.8871064	81.0	1558891609.949604
81	81	1558891610.04996	82.0	1558891610.1034055
82	82	1558891610.2037594	83.0	1558891610.272831
83	83	1558891610.3732238	84.0	1558891610.4357233
84	84	1558891610.5360208	85.0	1558891610.5895011
85	85	1558891610.6898596	86.0	1558891610.7523558
86	86	1558891610.8527112	87.0	1558891610.9061878
87	87	1558891611.0065205	88.0	1558891611.0756283
88	88	1558891611.1759074	89.0	1558891611.2384462
89	89	1558891611.339301	90.0	1558891611.3927808
90	90	1558891611.4930897	91.0	1558891611.5555863
91	91	1558891611.6558883	92.0	1558891611.709371
92	92	1558891611.809694	93.0	1558891611.8788354
93	93	1558891611.979126	94.0	1558891612.0416522
94	94	1558891612.1420004	95.0	1558891612.1954794
95	95	1558891612.295764	96.0	1558891612.3583028
96	96	1558891612.4586585	97.0	1558891612.5121408
97	97	1558891612.6124926	98.0	1558891612.6815639
98	98	1558891612.7818668	99.0	1558891612.844363
99	99	1558891612.9447174	100.0	1558891612.9981742
