1	1558891595.728235
2	1558891597.1879323
3	1558891597.3417618
4	1558891597.5046265
5	1558891597.6584494
6	1558891597.827984
7	1558891597.9907954
8	1558891598.1672556
9	1558891598.3295612
10	1558891598.492368
11	1558891598.6462438
12	1558891598.809074
13	1558891598.9628808
14	1558891599.1328096
15	1558891599.2956347
16	1558891599.4494715
17	1558891599.6123018
18	1558891599.7661364
19	1558891599.9355736
20	1558891600.0983922
21	1558891600.2522316
22	1558891600.415067
23	1558891600.568845
24	1558891600.7383108
25	1558891600.9011586
26	1558891601.05497
27	1558891601.2178214
28	1558891601.3716226
29	1558891601.5410542
30	1558891601.7038538
31	1558891601.8577328
32	1558891602.020561
33	1558891602.174388
34	1558891602.3437655
35	1558891602.5066304
36	1558891602.6604836
37	1558891602.8233237
38	1558891602.9771302
39	1558891603.1466038
40	1558891603.30942
41	1558891603.4632154
42	1558891603.6265635
43	1558891603.780402
44	1558891603.9498253
45	1558891604.1126628
46	1558891604.2664928
47	1558891604.429323
48	1558891604.583123
49	1558891604.752573
50	1558891604.9154162
51	1558891605.069208
52	1558891605.2320523
53	1558891605.385857
54	1558891605.5552845
55	1558891605.7181215
56	1558891605.8724568
57	1558891606.0353186
58	1558891606.189145
59	1558891606.3586068
60	1558891606.5214021
61	1558891606.6752052
62	1558891606.8380125
63	1558891606.9918334
64	1558891607.1612468
65	1558891607.3241222
66	1558891607.4779208
67	1558891607.6407075
68	1558891607.7945454
69	1558891607.9644434
70	1558891608.127297
71	1558891608.2810805
72	1558891608.4439743
73	1558891608.5977836
74	1558891608.7672172
75	1558891608.93007
76	1558891609.084361
77	1558891609.2471898
78	1558891609.4009795
79	1558891609.5704339
80	1558891609.7332885
81	1558891609.8871064
82	1558891610.04996
83	1558891610.2037594
84	1558891610.3732238
85	1558891610.5360208
86	1558891610.6898596
87	1558891610.8527112
88	1558891611.0065205
89	1558891611.1759074
90	1558891611.339301
91	1558891611.4930897
92	1558891611.6558883
93	1558891611.809694
94	1558891611.979126
95	1558891612.1420004
96	1558891612.295764
97	1558891612.4586585
98	1558891612.6124926
99	1558891612.7818668
100	1558891612.9447174
