iAngle	iPic	ts Ang			Angle	ts Pic
0	2	47249.3	0.0	47249.45164346695
1	7	47250.3	10.0	47250.46839427948
2	11	47251.2	20.0	47251.280891895294
3	16	47252.2	30.0	47252.30275797844
4	21	47253.2	40.0	47253.321586847305
5	26	47254.2	50.0	47254.33472394943
6	31	47255.2	60.0	47255.35250926018
7	36	47256.2	70.0	47256.383283376694
8	40	47257.1	80.0	47257.19105052948
9	45	47258.1	90.0	47258.20833349228
10	50	47259.1	100.0	47259.232639312744
11	55	47260.1	110.0	47260.25666451454
12	60	47261.1	120.0	47261.27245306969
13	65	47262.1	130.0	47262.29218840599
14	69	47263.1	140.0	47263.112973213196
15	74	47264.0	150.0	47264.13574504852
16	79	47265.0	160.0	47265.15495753288
17	84	47266.1	170.0	47266.17611479759
18	89	47267.1	180.0	47267.192197561264
19	94	47268.1	190.0	47268.209527015686
20	99	47269.1	200.0	47269.2206466198
21	103	47270.0	210.0	47270.033977508545
22	108	47271.0	220.0	47271.05121207237
23	113	47272.0	230.0	47272.066967487335
24	118	47273.0	240.0	47273.097782850266
25	123	47274.0	250.0	47274.121816158295
26	128	47275.0	260.0	47275.13918995857
27	133	47276.0	270.0	47276.15978050232
28	137	47276.9	280.0	47276.97505950928
29	142	47277.9	290.0	47277.98839354515
30	147	47278.9	300.0	47279.00516462326
31	152	47279.9	310.0	47280.01818060875
32	157	47280.9	320.0	47281.03454756737
33	162	47281.9	330.0	47282.0553958416
34	166	47282.8	340.0	47282.8674697876
35	171	47283.8	350.0	47283.88217186928
36	176	47284.8	360.0	47284.90603351593
